date freq power mode idcall country long latitude distance
2014-11-29 00:01:08      21036.0 15    CW   7K3BKZ         JA     35.68000  139.67999 15292
2014-11-29 00:01:38      21036.0 15    CW   W0AIH          K      41.08000  -96.40000  5891
2014-11-29 00:01:57      21036.0 15    CW   N1IX           K      42.38000  -71.67000  4540
2014-11-29 00:02:22      21036.0 15    CW   JA1GRM         JA     35.68000  139.67999 15292
2014-11-29 00:02:36      21036.0 15    CW   AF5I           K      31.92000  -96.23000  5410
2014-11-29 00:02:48      21036.0 15    CW   K5XR           K      31.92000  -96.23000  5410
2014-11-29 00:03:06      21036.0 15    CW   JF8QNF         JA     41.77000  140.73000 14620
2014-11-29 00:03:37      21036.0 15    CW   JA1PCM         JA     35.68000  139.67999 15292
2014-11-29 00:04:01      21036.0 15    CW   HL2UOK         HL     36.23000  127.90000 15410
2014-11-29 00:04:40      21036.0 15    CW   W2EN           K      41.17000  -74.57000  4554
2014-11-29 00:04:57      21036.0 15    CW   W5GN           K      31.92000  -96.23000  5410
2014-11-29 00:05:20      21036.0 15    CW   JA3GSM         JA     35.02000  135.77000 15458
2014-11-29 00:06:03      21036.0 15    CW   JR2BJE         JA     35.18000  136.89999 15416
2014-11-29 00:06:36      21036.0 15    CW   JA5TNF         JA     33.57000  133.53000 15657
2014-11-29 00:07:07      21036.0 15    CW   JS1IFK         JA     35.68000  139.67999 15292
2014-11-29 00:07:37      21036.0 15    CW   JH3FUK         JA     35.02000  135.77000 15458
2014-11-29 00:08:08      21036.0 15    CW   JA6BZI         JA     33.58000  130.53000 15692
2014-11-29 00:08:29      21036.0 15    CW   JH1GEX         JA     35.68000  139.67999 15292
2014-11-29 00:08:43      21036.0 15    CW   K7ZG           K      41.28000 -116.58000  7461
2014-11-29 00:09:07      21036.0 15    CW   JE1FQV         JA     35.68000  139.67999 15292
2014-11-29 00:09:42      21036.0 15    CW   HP2AT          HP      9.30000  -78.35000  2865
2014-11-29 00:09:59      21036.0 15    CW   KG4LB          KG4    20.00000  -75.00000  2920
2014-11-29 00:10:19      21036.0 15    CW   JA0RUG         JA     36.65000  138.17999 15228
2014-11-29 00:10:47      21036.0 15    CW   JN3ONX         JA     35.02000  135.77000 15458
2014-11-29 00:11:09      21036.0 15    CW   JA6CDA         JA     33.58000  130.53000 15692
2014-11-29 00:11:33      21036.0 15    CW   JH1ZIQ         JA     35.68000  139.67999 15292
2014-11-29 00:11:46      21036.0 15    CW   N0HR           K      41.08000  -96.40000  5891
2014-11-29 00:12:17      21036.0 15    CW   JH7BOE         JA     40.82000  140.73000 14720
2014-11-29 00:12:33      21036.0 15    CW   CN2AA          CN     32.00000   -5.00000  5778
2014-11-29 00:13:18      21036.0 15    CW   JA1DDZ         JA     35.68000  139.67999 15292
2014-11-29 00:13:38      21036.0 15    CW   KM3T           K      39.98000  -76.88000  4564
2014-11-29 00:13:51      21036.0 15    CW   JE2EHP         JA     35.18000  136.89999 15416
2014-11-29 00:14:18      21036.0 15    CW   N4TZ           K      40.15000  -86.27000  5134
2014-11-29 00:14:49      21036.0 15    CW   N2CQ           K      41.17000  -74.57000  4554
2014-11-29 00:15:05      21036.0 15    CW   N9RV           K      46.78000 -111.30000  7238
2014-11-29 00:15:16      21036.0 15    CW   W1QK           K      42.38000  -71.67000  4540
2014-11-29 00:15:44      21036.0 15    CW   K4MM           K      33.18000  -82.23000  4361
2014-11-29 00:16:18      21036.0 15    CW   AH2R           KH2    13.37000  144.70000 17196
2014-11-29 00:16:36      21036.0 15    CW   AB9PN          K      41.53000  -87.98000  5342
2014-11-29 00:17:11      21036.0 15    CW   LU6ETB         LU    -38.75000  -62.25000  4984
2014-11-29 00:17:29      21036.0 15    CW   JH1TFE         JA     35.68000  139.67999 15292
2014-11-29 00:17:56      21036.0 15    CW   W7QL           K      41.28000 -116.58000  7461
2014-11-29 00:18:31      21036.0 15    CW   JA1WPX         JA     35.68000  139.67999 15292
2014-11-29 00:19:09      21036.0 15    CW   N0IW           K      41.08000  -96.40000  5891
2014-11-29 00:19:32      21036.0 15    CW   JE1CSW         JA     35.68000  139.67999 15292
2014-11-29 00:20:22      21036.0 15    CW   JJ0NCC         JA     36.65000  138.17999 15228
2014-11-29 00:20:34      21036.0 15    CW   N6RO           K      35.47000 -119.33000  7564
2014-11-29 00:21:06      21036.0 15    CW   WK1Q           K      42.38000  -71.67000  4540
2014-11-29 00:21:30      21036.0 15    CW   K7IA           K      34.63000 -106.35000  6395
2014-11-29 00:21:49      21036.0 15    CW   WA0MHJ         K      41.08000  -96.40000  5891
2014-11-29 00:22:28      21036.0 15    CW   N5ZC           K      31.92000  -96.23000  5410
2014-11-29 00:22:42      21036.0 15    CW   W0ERP          K      41.08000  -96.40000  5891
2014-11-29 00:23:05      21036.0 15    CW   NQ2T           K      41.17000  -74.57000  4554
2014-11-29 00:23:23      21036.0 15    CW   K7PI           K      41.28000 -116.58000  7461
2014-11-29 00:23:49      21036.0 15    CW   CR2X           CU     38.70000  -27.23000  4526
2014-11-29 00:24:01      21036.0 15    CW   WY0V           K      41.08000  -96.40000  5891
2014-11-29 00:24:15      21036.0 15    CW   W0VX           K      41.08000  -96.40000  5891
2014-11-29 00:24:45      21036.0 15    CW   JS1NDM         JA     35.68000  139.67999 15292
